ID	Question	QuestionDetails	Topics	NumberOfAnswers	LawyerName	PracticeState	AnswerDetails
1	"Q: I own 49% of a website, & the domain holder part owns 51%. Do they have the right to take profit or the site from me?"	what rights do they have over me as a majority?	"Related Topics:
            
            Business Law"	1	Adam Studnicki	"Phoenix, AZ"	"A: A local business lawyer can review the governing documents and advise. 

Please Take Notice: I am not your lawyer unless we enter into an engagement agreement in writing. This is only general information. It is NOT legal advice, and it may not work for your specific situation. It is impossible to evaluate a legal problem without a comprehensive consultation and review of all the relevant facts and documents. I strongly encourage you to consult with a local lawyer to get legal advice and help with your specific situation at your earliest convenience. I am licensed to practice law in Arizona."
2	Q: How much does it cost to file bankruptcy?	null	"Related Topics:
            
            Bankruptcy"	1	Timothy Coe	Bankruptcy Lawyer	"A: That's a difficult question, but I will try my best. The filing fee for a chapter 13 has just been raised to $281.00, and for a chapter 7 the filing fee is $306.00. We charge $1,500.00 for a Chapter 7 in attorney's fees, and $2,500.00 for a chapter 13 (probably going to rise shortly because the courts have raised them). There are costs like a credit report that we use ($30 for an individual $60 for a couple) and every person filing bankruptcy has to take two debtor education classes, the prices for which vary (sometimes depending on where you live)."
3	Q: where can i find a form to motion to change the hearing date for a graudianship in indiana?	null	"Related Topics:
            
            Family Law"	1	Terrence H Thorgaard	"Freeport, FL"	"A: If the clerk of court doesn't have such a form, either online or in the clerk's office, you will probably have to draft your own motion."
4	Q: I have been named as a devisee or a distributee in my uncles estate. Does that mean he is leaving me something????	null	"Related Topics:
            
            Estate Planning"	1	Timothy Coe	Estate Planning Lawyer	"A: Typically yes, but a will is never final until the testator dies. One does not have heirs or devisees while alive."
5	Q: If child support checks were mailed and I moved and they were sent back how do i track them?	null	"Related Topics:
            
            Family Law"	2	Terrence Rubino	"Dyer, IN"	"A: if you are the recipient and assuming your divorce is relatively recent(10 yrs or so)the courts typically require payment through the clerk of court.  you need to notify the clerk of your new address. the clerk would have record of what it received and where it was sent. in our firm, attorney adam sedia,has alot of experience in domestic relations matters.  feel free to call him with questions."
6	"Q: Can i file a 156B form myself and does it have a time limit on it ,also can i do a title search myself?  thank you!"	null	"Related Topics:
            
            Real Estate Law"	1	Burton A. Padove	"Highland, IN"	"A: I am not familiar with or do not recognize what form you are referring to.  However, you can do a title search yourself.  I do not recomend doing so unless you are familiar with how a chain of title works, how to look for liens and judgments."
7	Q: Are patents good in other countries?	null	"Related Topics:
            
            Patents"	1	Paul Overhauser	Patents Lawyer	"A: You must file for patent protection in each individual country in which you want protection. Usually companies select which countries to seek patents in based on where the biggest markets for the invention are located. The costs for patent protection varies considerably from one country to the next, so you should discuss your options with a registered patent attorney.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
8	Q: Do I need a lawyer to handle my workman's compensation claim?	null	"Related Topics:
            
            Workers' Compensation"	1	Nathaniel O Hubley	Workers' Compensation Lawyer	"A: Normally, probably not. Most workers compensation matters can be resolved informally without an attorney. The system is set up to be self-governing. This means that the employer and its workers compensation carrier has specific obligations and must abide by those obligations. Now, if you get the feeling that you are being taken advantage of, then you should consult an attorney. If you think you are not being treated fairly, I would recommend getting an attorney. Most attorneys offer free consultations and will be able to tell you what your options are and whether you actually need an attorney."
9	Q: Where can I find out the actual law on the washout period when it comes to drunk driving? This is for the state of IN	null	"Related Topics:
            
            DUI / DWI"	1	Paul Stanko	DUI & DWI Lawyer	"A: The Operating While Intoxicated statutes are found at Indiana Code 9-30-5.  A misdemeanor charge of Operating While Intoxicated (or the ""per se"" violation of operating over the limit) can be enhanced to a felony if the person has a prior conviction of OWI within five years of the instant offense.

Here is the pertinent part of that statute:

""IC 9-30-5-3

Class D felony; previous convictions; passenger less than 18 years of age

Sec. 3. (a) Except as provided in subsection (b), a person who violates section 1 or 2 of this chapter commits a Class D felony if:

(1) the person has a previous conviction of operating while intoxicated that occurred within the five (5) years immediately preceding the occurrence of the violation of section 1 or 2 of this chapter;"""
10	"Q: My husband filed for bankruptcy in 2002 or 2003 it is still listed as open on his credit report, how can we fix it?"	null	"Related Topics:
            
            Bankruptcy"	1	Andrew Bresalier	Bankruptcy Lawyer	"A: Only the filing of a Bankruptcy is reported on a credit report, not if it is pending. A Bankruptcy can appear on a credit report for upto 10 years."
